frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
64,2.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
65,2.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
66,2.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
67,2.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
68,2.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
69,2.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
70,2.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
71,2.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
72,2.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
73,2.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
74,2.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
75,2.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
76,2.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
77,2.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
78,2.6,0,1,1,2,independent,,,888.4,3.2807,729.8,2.6953,691.4,2.5535,0.0,263.5,241.4,7.1,8.2,0.4337,,
79,2.6333,0,1,1,2,independent,,,897.7,3.328,744.6,2.7602,701.2,2.5993,0.0,260.3,260.6,13.3,5.0,0.4731,,
80,2.6667,0,1,1,2,independent,,,903.2,3.3578,748.5,2.7825,708.2,2.6329,0.0,264.5,259.8,9.0,3.4,0.464,,
81,2.7,0,1,1,2,independent,,,912.7,3.4033,753.4,2.8093,721.6,2.6908,0.0,266.8,255.0,8.0,10.4,0.4512,,
82,2.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
83,2.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
84,2.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
85,2.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
86,2.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
87,2.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
88,2.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
89,2.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
90,3.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
91,3.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
92,3.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
93,3.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
94,3.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
95,3.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
96,3.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
97,3.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
98,3.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
99,3.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
100,3.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
101,3.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
102,3.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
103,3.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
104,3.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
105,3.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
106,3.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
107,3.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
108,3.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
109,3.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
110,3.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
111,3.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
112,3.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
113,3.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
114,3.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
115,3.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
116,3.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
117,3.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
118,3.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
119,3.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
120,4.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
121,4.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
122,4.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
123,4.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
124,4.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
125,4.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
126,4.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
127,4.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
128,4.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
129,4.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
130,4.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
131,4.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
132,4.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
133,4.4333,0,1,1,2,independent,,,757.6,2.8667,711.1,2.6906,713.1,2.6983,0.0,268.8,252.2,10.9,3.0,0.9963,,
134,4.4667,0,1,1,2,independent,,,752.9,2.8529,716.3,2.7141,720.6,2.7305,0.0,268.6,252.2,11.9,0.8,0.9995,,
135,4.5,0,1,1,2,independent,,,754.1,2.8606,722.1,2.7392,723.9,2.7458,0.0,267.2,255.3,8.8,0.2,1.0,,
136,4.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
137,4.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
138,4.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
